arquitectura,reps,acierto,cita,cifra,trayectoria,recall@5,coste medio (¢),latencia media (s),llamadas/pregunta,% fuente=ninguna,errores,reintentos proveedor,reintentos por respuesta vacía,% sin respuesta,% corrigió cifra,% corrigió cita,reintentos esquema,% límite alcanzado,% búsquedas reescritas,% búsquedas con ticker,acierto numerica,acierto extractiva,acierto comparativa,acierto honestidad,acierto multi,acierto multi_temporal,honestidad
baseline,1,0.6111111111111112,0.5,0.7692307692307693,1.0,0.75,1.4574708333333333,23.34126915011762,5.5,0.2222222222222222,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.8,0.6666666666666666,0.42857142857142855,0.6666666666666666
a1_guardrails,1,0.7222222222222222,1.0,0.5833333333333334,1.0,0.75,1.7743749999999998,25.42872091113693,5.055555555555555,0.4444444444444444,0.0,1.0,1.0,0.0,0.0,0.0,0.2222222222222222,0.16666666666666666,0.0,1.0,,,,1.0,0.8333333333333334,0.42857142857142855,1.0
a2_retrieval,1,0.7222222222222222,1.0,0.5833333333333334,1.0,1.0,1.7546458333333335,34.72922497214232,5.055555555555555,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.2222222222222222,0.6875,1.0,,,,1.0,0.8333333333333334,0.42857142857142855,1.0
a3_hibrido,1,0.7222222222222222,1.0,0.5833333333333334,1.0,1.0,1.9135125,39.91392478880981,5.277777777777778,0.4444444444444444,0.0,0.0,3.0,0.0,0.0,0.0,0.4444444444444444,0.1111111111111111,0.9473684210526315,1.0,,,,1.0,0.8333333333333334,0.42857142857142855,1.0
a4_comparativas,1,0.7222222222222222,1.0,0.5833333333333334,1.0,1.0,1.8895875,39.12673328325359,5.166666666666667,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.7647058823529411,1.0,,,,1.0,0.8333333333333334,0.42857142857142855,1.0
a5_limites,1,0.8333333333333334,1.0,0.75,1.0,1.0,2.3445000000000005,53.68375793337408,5.388888888888889,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.85,1.0,,,,1.0,0.8333333333333334,0.7142857142857143,1.0
a6_cifras_texto,1,0.9444444444444444,1.0,0.9166666666666666,1.0,1.0,2.2469,46.58986865007642,5.222222222222222,0.3888888888888889,0.0,1.0,2.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.7619047619047619,1.0,,,,1.0,0.8333333333333334,1.0,1.0
