arquitectura,original · reps,original · acierto,original · cita,original · cifra,original · trayectoria,original · honestidad,original · recall@5,original · coste medio (¢),original · latencia media (s),original · llamadas/pregunta,original · % límite alcanzado,dificil · reps,dificil · acierto,dificil · cita,dificil · cifra,dificil · trayectoria,dificil · honestidad,dificil · recall@5,dificil · coste medio (¢),dificil · latencia media (s),dificil · llamadas/pregunta,dificil · % límite alcanzado
baseline,3,0.6333333333333333,0.5476190476190476,0.5,0.8333333333333334,,0.5,1.63645875,20.325058958296115,3.9499999999999997,0.0,1,0.6111111111111112,0.5,0.7692307692307693,1.0,0.6666666666666666,0.75,1.4574708333333333,23.34126915011762,5.5,0.0
a1_guardrails,3,0.75,0.6428571428571429,1.0,0.75,,0.5,1.4092149999999999,17.14722912332509,3.25,0.03333333333333333,1,0.7222222222222222,1.0,0.5833333333333334,1.0,1.0,0.75,1.7743749999999998,25.42872091113693,5.055555555555555,0.16666666666666666
a2_retrieval,3,0.75,0.6428571428571429,1.0,0.7666666666666666,,0.6428571428571429,1.44290375,29.401346493318368,3.483333333333333,0.03333333333333333,1,0.7222222222222222,1.0,0.5833333333333334,1.0,1.0,1.0,1.7546458333333335,34.72922497214232,5.055555555555555,0.2222222222222222
a3_hibrido,3,0.7666666666666666,0.6666666666666666,1.0,0.7666666666666666,,0.8571428571428571,1.3983800000000002,23.91699472833352,3.6,0.05000000000000001,1,0.7222222222222222,1.0,0.5833333333333334,1.0,1.0,1.0,1.9135125,39.91392478880981,5.277777777777778,0.1111111111111111
a4_comparativas,3,1.0,1.0,1.0,1.0,,0.8571428571428571,1.59056375,48.27912326664821,3.6333333333333333,0.03333333333333333,1,0.7222222222222222,1.0,0.5833333333333334,1.0,1.0,1.0,1.8895875,39.12673328325359,5.166666666666667,0.16666666666666666
a5_limites,1,1.0,1.0,1.0,1.0,,0.8571428571428571,1.4738175,49.68164403995361,3.45,0.0,1,0.8333333333333334,1.0,0.75,1.0,1.0,1.0,2.3445000000000005,53.68375793337408,5.388888888888889,0.0
a6_cifras_texto,1,1.0,1.0,1.0,1.0,,0.8571428571428571,1.8587475000000002,39.35407750001177,3.2,0.0,1,0.9444444444444444,1.0,0.9166666666666666,1.0,1.0,1.0,2.2469,46.58986865007642,5.222222222222222,0.0
