arquitectura,reps,acierto,cita,cifra,trayectoria,recall@5,coste medio (¢),latencia media (s),llamadas/pregunta,% fuente=ninguna,errores,reintentos proveedor,reintentos por respuesta vacía,% sin respuesta,% corrigió cifra,% corrigió cita,reintentos esquema,% límite alcanzado,% búsquedas reescritas,% búsquedas con ticker,acierto numerica,acierto extractiva,acierto comparativa,honestidad,acierto min,acierto max,recall@5 min,recall@5 max,coste medio (¢) min,coste medio (¢) max
baseline,3,0.6333333333333333,0.5476190476190476,0.5,0.8333333333333334,0.5,1.63645875,20.325058958296115,3.9499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,1.0,1.0,1.0,0.08333333333333333,,0.6,0.65,0.5,0.5,1.23757125,2.15844375
a1_guardrails,3,0.75,0.6428571428571429,1.0,0.75,0.5,1.4092149999999999,17.14722912332509,3.25,0.0,0.0,2.0,0.0,0.0,0.05000000000000001,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.0,1.0,1.0,1.0,0.375,,0.75,0.75,0.5,0.5,1.2709237500000001,1.4979112499999998
a2_retrieval,3,0.75,0.6428571428571429,1.0,0.7666666666666666,0.6428571428571429,1.44290375,29.401346493318368,3.483333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.8425685425685426,1.0,1.0,1.0,0.375,,0.75,0.75,0.6428571428571429,0.6428571428571429,1.4104612499999998,1.4768999999999999
a3_hibrido,3,0.7666666666666666,0.6666666666666666,1.0,0.7666666666666666,0.8571428571428571,1.3983800000000002,23.91699472833352,3.6,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.06666666666666667,0.05000000000000001,0.831060606060606,1.0,1.0,1.0,0.4166666666666667,,0.75,0.8,0.8571428571428571,0.8571428571428571,1.3154287500000001,1.4867287499999997
a4_comparativas,3,1.0,1.0,1.0,1.0,0.8571428571428571,1.59056375,48.27912326664821,3.6333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.8239080459770115,1.0,1.0,1.0,1.0,,1.0,1.0,0.8571428571428571,0.8571428571428571,1.5543975,1.6303612500000002
a5_limites,1,1.0,1.0,1.0,1.0,0.8571428571428571,1.4738175,49.68164403995361,3.45,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,1.0,1.0,1.0,1.0,,,,,,,
a6_cifras_texto,1,1.0,1.0,1.0,1.0,0.8571428571428571,1.8587475000000002,39.35407750001177,3.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174,1.0,1.0,1.0,1.0,,,,,,,
