golden,arquitectura,metrica,media,min,max,reps,fuente
original,baseline,acierto,0.6166666666666667,0.6,0.65,3,agente
original,baseline,recall@5,0.5,0.5,0.5,3,agente
original,baseline,coste medio (¢),1.61518875,1.1737612499999999,2.15844375,3,agente
original,baseline,latencia media (s),20.329367284965702,17.20618015497457,22.124426509952173,3,agente
original,a1_guardrails,acierto,0.75,0.75,0.75,3,agente
original,a1_guardrails,recall@5,0.5,0.5,0.5,3,agente
original,a1_guardrails,coste medio (¢),1.4092149999999999,1.2709237500000001,1.4979112499999998,3,agente
original,a1_guardrails,latencia media (s),17.14722912332509,16.13293924999889,18.143752669962122,3,agente
original,a2_retrieval,acierto,0.75,0.75,0.75,3,agente
original,a2_retrieval,recall@5,0.6428571428571429,0.6428571428571429,0.6428571428571429,3,agente
original,a2_retrieval,coste medio (¢),1.44290375,1.4104612499999998,1.4768999999999999,3,agente
original,a2_retrieval,latencia media (s),29.401346493318368,27.236294575035572,32.49745179999154,3,agente
original,a3_hibrido,acierto,,,,0,
original,a3_hibrido,recall@5,,,,0,
original,a3_hibrido,coste medio (¢),,,,0,
original,a3_hibrido,latencia media (s),,,,0,
original,a4_comparativas,acierto,0.9666666666666667,0.95,1.0,3,agente
original,a4_comparativas,recall@5,0.8571428571428571,0.8571428571428571,0.8571428571428571,3,agente
original,a4_comparativas,coste medio (¢),1.5208899999999999,1.4565937500000001,1.5543975,3,agente
original,a4_comparativas,latencia media (s),49.161846503304936,40.273400159971786,55.28153782999143,3,agente
dificil,baseline,acierto,0.6111111111111112,0.6111111111111112,0.6111111111111112,1,agente
dificil,baseline,coste medio (¢),1.4574708333333333,1.4574708333333333,1.4574708333333333,1,agente
dificil,baseline,latencia media (s),23.34126915011762,23.34126915011762,23.34126915011762,1,agente
dificil,a1_guardrails,acierto,0.7222222222222222,0.7222222222222222,0.7222222222222222,1,agente
dificil,a1_guardrails,coste medio (¢),1.7743749999999998,1.7743749999999998,1.7743749999999998,1,agente
dificil,a1_guardrails,latencia media (s),25.42872091113693,25.42872091113693,25.42872091113693,1,agente
dificil,a2_retrieval,acierto,0.7222222222222222,0.7222222222222222,0.7222222222222222,1,agente
dificil,a2_retrieval,coste medio (¢),1.7546458333333335,1.7546458333333335,1.7546458333333335,1,agente
dificil,a2_retrieval,latencia media (s),34.72922497214232,34.72922497214232,34.72922497214232,1,agente
dificil,a3_hibrido,acierto,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,agente
dificil,a3_hibrido,coste medio (¢),1.8910125,1.8910125,1.8910125,1,agente
dificil,a3_hibrido,latencia media (s),40.3848354443649,40.3848354443649,40.3848354443649,1,agente
dificil,a4_comparativas,acierto,0.7222222222222222,0.7222222222222222,0.7222222222222222,1,agente
dificil,a4_comparativas,coste medio (¢),1.8895875,1.8895875,1.8895875,1,agente
dificil,a4_comparativas,latencia media (s),39.12673328325359,39.12673328325359,39.12673328325359,1,agente
