versión,acierto,cita,cifra,trayectoria,recall@5,coste medio (¢),latencia media (s),llamadas/pregunta,% fuente=ninguna,errores,reintentos proveedor,reintentos por respuesta vacía,% sin respuesta,% corrigió cifra,% corrigió cita,reintentos esquema,% límite alcanzado,% búsquedas reescritas,% búsquedas con ticker,acierto numerica,acierto extractiva,acierto comparativa,honestidad
a3_hibrido rep1,0.75,0.6428571428571429,1.0,0.75,0.8571428571428571,1.3154287500000001,22.60366408000027,3.6,0.0,0,0,0,0.0,0.0,0.0,0.0,0.05,0.8181818181818182,1.0,1.0,1.0,0.375,
a3_hibrido rep2,0.8,0.7142857142857143,1.0,0.8,0.8571428571428571,1.3929825000000002,23.35706170499998,3.75,0.0,0,0,0,0.0,0.0,0.0,0.05,0.05,0.875,1.0,1.0,1.0,0.5,
a3_hibrido rep3,0.75,0.6428571428571429,1.0,0.75,0.8571428571428571,1.4867287499999997,25.79025840000031,3.45,0.0,0,0,1,0.0,0.0,0.0,0.15,0.05,0.8,1.0,1.0,1.0,0.375,
